iter	Passed	Remaining
0	1	129
1	2	121
2	3	117
3	4	106
4	5	105
5	6	106
6	7	104
7	9	104
8	10	102
9	11	101
10	12	100
11	13	98
12	14	98
13	15	97
14	17	96
15	18	96
16	19	95
17	20	94
18	21	93
19	23	92
20	24	90
21	25	90
22	26	88
23	27	87
24	28	86
25	29	85
26	31	84
27	32	82
28	33	80
29	34	80
30	35	79
31	36	77
32	37	76
33	38	75
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	44	67
40	46	66
41	46	64
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	84	25
77	84	23
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	99	8
92	101	7
93	102	6
94	103	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
