iter	Passed	Remaining
0	137	137531
1	139	69820
2	141	46963
3	142	35449
4	143	28525
5	144	23898
6	145	20616
7	146	18125
8	146	16176
9	147	14611
10	150	13519
11	151	12449
12	151	11528
13	152	10754
14	153	10070
15	154	9472
16	154	8939
17	155	8465
18	155	8039
19	156	7665
20	157	7343
21	158	7033
22	159	6755
23	159	6490
24	160	6244
25	160	6020
26	161	5813
27	162	5640
28	163	5464
29	164	5315
30	165	5163
31	165	5015
32	166	4873
33	167	4746
34	167	4622
35	168	4505
36	168	4393
37	169	4292
38	170	4209
39	171	4114
40	172	4024
41	172	3935
42	173	3854
43	173	3779
44	174	3709
45	175	3642
46	176	3576
47	177	3511
48	177	3450
49	178	3393
50	179	3335
51	179	3279
52	180	3226
53	181	3176
54	182	3127
55	182	3082
56	183	3034
57	184	2988
58	184	2944
59	185	2901
60	185	2858
61	186	2819
62	186	2780
63	187	2741
64	188	2707
65	188	2670
66	189	2636
67	189	2601
68	190	2570
69	191	2539
70	191	2511
71	192	2482
72	193	2453
73	193	2424
74	194	2397
75	195	2372
76	195	2346
77	196	2320
78	196	2296
79	197	2273
80	198	2249
81	198	2227
82	199	2201
83	199	2179
84	200	2159
85	201	2137
86	201	2117
87	202	2097
88	202	2077
89	203	2057
90	204	2037
91	204	2019
92	205	2000
93	205	1982
94	206	1965
95	207	1949
96	207	1934
97	208	1919
98	209	1903
99	209	1887
100	210	1872
101	210	1856
102	211	1842
103	212	1827
104	212	1814
105	213	1800
106	214	1786
107	214	1773
108	215	1760
109	215	1746
110	216	1733
111	216	1720
112	217	1707
113	218	1694
114	218	1683
115	219	1671
116	219	1658
117	220	1646
118	220	1634
119	221	1622
120	222	1614
121	222	1603
122	223	1594
123	224	1584
124	224	1574
125	225	1564
126	225	1553
127	226	1544
128	227	1534
129	227	1525
130	228	1516
131	229	1506
132	229	1497
133	230	1488
134	230	1478
135	231	1469
136	231	1460
137	232	1451
138	233	1443
139	233	1434
140	234	1425
141	234	1416
142	235	1408
143	235	1400
144	236	1393
145	237	1387
146	238	1381
147	238	1374
148	239	1367
149	240	1360
150	240	1353
151	241	1346
152	241	1339
153	242	1333
154	243	1325
155	243	1319
156	244	1313
157	245	1306
158	245	1300
159	246	1294
160	246	1286
161	247	1279
162	247	1273
163	248	1267
164	249	1260
165	249	1254
166	250	1248
167	251	1243
168	251	1239
169	252	1234
170	253	1229
171	254	1224
172	254	1218
173	255	1213
174	256	1208
175	256	1202
176	257	1197
177	258	1191
178	258	1186
179	259	1181
180	259	1176
181	260	1170
182	261	1165
183	261	1160
184	262	1155
185	262	1150
186	263	1144
187	263	1140
188	264	1136
189	265	1131
190	266	1127
191	266	1122
192	267	1118
193	268	1113
194	268	1109
195	269	1104
196	269	1099
197	270	1094
198	270	1090
199	271	1085
200	272	1081
201	272	1077
202	273	1073
203	274	1069
204	274	1064
205	275	1060
